BOTSWANA,BOTSWANA,FRANCISTOWN,0
EASTERN CAPE,JEFFREYS BAY,KABELJOUS,6330
EASTERN CAPE,JEFFREYS BAY,LIFE STYLE ESTATE,6330
EASTERN CAPE,JEFFREYS BAY,MARINA MARTINIQUE,6331
EASTERN CAPE,JEFFREYS BAY,MARINE MARTINIQUE,6330
EASTERN CAPE,JEFFREYS BAY,NOORSEKLOOF,6331
EASTERN CAPE,JEFFREYS BAY,PARADISE BEACH,6300
EASTERN CAPE,JEFFREYS BAY,PELLSRUS,6330
EASTERN CAPE,JEFFREYS BAY,WAVE CREST,6330
EASTERN CAPE,JOUBERTINA,JOUBERTINA,6410
EASTERN CAPE,KAMASTONE,KAMASTONE,5363
EASTERN CAPE,KAREEDOUW,KAREEDOUW,6400
EASTERN CAPE,KEI ROAD,KEI ROAD,4920
EASTERN CAPE,KEISKAMMAHOEK,KEISKAMMAHOEK,5670
EASTERN CAPE,KENTANI,KENTANI,4980
EASTERN CAPE,KENTON ON SEA,KARIEGA VIEW,6191
EASTERN CAPE,KENTON ON SEA,KASOUGA,6191
EASTERN CAPE,KENTON ON SEA,KENTON ON SEA,6191
EASTERN CAPE,KENTON ON SEA,MERRYHILL,6191
EASTERN CAPE,KING WILLIAMS TOWN,BALASSI VALLEY,5600
EASTERN CAPE,KING WILLIAMS TOWN,BERLIN,5600
EASTERN CAPE,KING WILLIAMS TOWN,BREIDBACH,5600
EASTERN CAPE,KING WILLIAMS TOWN,CENTRAL,5600
EASTERN CAPE,KING WILLIAMS TOWN,CLUB VIEW,5600
EASTERN CAPE,KING WILLIAMS TOWN,DALE CENTRAL,5600
EASTERN CAPE,KING WILLIAMS TOWN,DALE FIELDS,5600
EASTERN CAPE,KING WILLIAMS TOWN,DALE VIEW,5600
EASTERN CAPE,KING WILLIAMS TOWN,ECHOVALE,5600
EASTERN CAPE,KING WILLIAMS TOWN,EDONQABA,5600
EASTERN CAPE,KING WILLIAMS TOWN,FORT HILL,5600
EASTERN CAPE,KING WILLIAMS TOWN,GINSBERG,5600
EASTERN CAPE,KING WILLIAMS TOWN,HEADLANDS,5600
EASTERN CAPE,KING WILLIAMS TOWN,HOSPITAL HILL,5600
EASTERN CAPE,KING WILLIAMS TOWN,KAFFRARIAN HEIGHTS,5600
EASTERN CAPE,KING WILLIAMS TOWN,KING WILLIAMS TOWN,5600
EASTERN CAPE,KING WILLIAMS TOWN,LEIGHTON GARDENS,5600
EASTERN CAPE,KING WILLIAMS TOWN,MARKET SQUARE,5600
EASTERN CAPE,KING WILLIAMS TOWN,RESERVE RD,5600
EASTERN CAPE,KING WILLIAMS TOWN,ROADSIDE,9855
EASTERN CAPE,KING WILLIAMS TOWN,SCHORNVILLE,5600
EASTERN CAPE,KING WILLIAMS TOWN,WEST BANK,5600
EASTERN CAPE,KING WILLIAMS TOWN,WEST DRIVE,5600
EASTERN CAPE,KIRKWOOD,ENON,6125
EASTERN CAPE,KIRKWOOD,KIRKWOOD,6120
EASTERN CAPE,KLEINBOS,KLEINBOS,6310
EASTERN CAPE,KLIPPLAAT,KLIPPLAAT,6255
EASTERN CAPE,KOMGA,KOMGA,4950
EASTERN CAPE,KOUKAMMA,KOUKAMMA,6400
EASTERN CAPE,KRAKEEL RIVER,KRAKEEL RIVER,6430
EASTERN CAPE,KWANOBUHLE,KWANOBUHLE,6242
EASTERN CAPE,LADY FRERE,BANKIES,5341
EASTERN CAPE,LADY FRERE,BENGU,5411
EASTERN CAPE,LADY FRERE,BLACKSTREAM,5414
EASTERN CAPE,LADY FRERE,BRAUNVILLE,5418
EASTERN CAPE,LADY FRERE,DRIVERSDRIFT,5417
EASTERN CAPE,LADY FRERE,LADY FRERE,5410
